,lat,lon,gcid,gidx,gidy,pop,node_label,birthrate,dist_val,result_val
0,-11.75358359338918,43.2360992518623,83,1.0,20.0,6,0,0.005158166666666667,"[0.         0.07647416 0.14736507 0.21308032 0.27399777 0.3304068
 0.3827575  0.43128614 0.47627177 0.51797305 0.55662964 0.59246346
 0.6256811  0.65644042 0.68498719 0.71144963 0.73597981 0.75871908
 0.77979818 0.79933831 0.81745174 0.83422445 0.8497907  0.86422048
 0.87759676 0.88999634 0.90149055 0.91214558 0.9220227  0.93116885
 0.93965701 0.94752541 0.95481935 0.96158077 0.96784855 0.97365866
 0.97904454 0.98403184 0.9886604  0.99295103 0.99692835 1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[    0.   894.  1788.  2682.  3576.  4469.  5363.  6257.  7151.  8045.
  8939.  9833. 10727. 11620. 12514. 13408. 14302. 15196. 16090. 16984.
 17878. 18771. 19665. 20559. 21453. 22347. 23241. 24135. 25029. 25922.
 26816. 27710. 28604. 29498. 30392. 31286. 32180. 33073. 33967. 34861.
 35755. 36649. 37543. 38437. 39331. 40224. 41118. 42012. 42906. 43800.]"
1,-11.744543663773104,43.2360992518623,84,1.0,21.0,16,1,0.0019343125,"[0.         0.07647416 0.14736507 0.21308032 0.27399777 0.3304068
 0.3827575  0.43128614 0.47627177 0.51797305 0.55662964 0.59246346
 0.6256811  0.65644042 0.68498719 0.71144963 0.73597981 0.75871908
 0.77979818 0.79933831 0.81745174 0.83422445 0.8497907  0.86422048
 0.87759676 0.88999634 0.90149055 0.91214558 0.9220227  0.93116885
 0.93965701 0.94752541 0.95481935 0.96158077 0.96784855 0.97365866
 0.97904454 0.98403184 0.9886604  0.99295103 0.99692835 1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[    0.   894.  1788.  2682.  3576.  4469.  5363.  6257.  7151.  8045.
  8939.  9833. 10727. 11620. 12514. 13408. 14302. 15196. 16090. 16984.
 17878. 18771. 19665. 20559. 21453. 22347. 23241. 24135. 25029. 25922.
 26816. 27710. 28604. 29498. 30392. 31286. 32180. 33073. 33967. 34861.
 35755. 36649. 37543. 38437. 39331. 40224. 41118. 42012. 42906. 43800.]"
2,-11.735503728446986,43.2360992518623,85,1.0,22.0,13,2,0.002380692307692308,"[0.         0.07647416 0.14736507 0.21308032 0.27399777 0.3304068
 0.3827575  0.43128614 0.47627177 0.51797305 0.55662964 0.59246346
 0.6256811  0.65644042 0.68498719 0.71144963 0.73597981 0.75871908
 0.77979818 0.79933831 0.81745174 0.83422445 0.8497907  0.86422048
 0.87759676 0.88999634 0.90149055 0.91214558 0.9220227  0.93116885
 0.93965701 0.94752541 0.95481935 0.96158077 0.96784855 0.97365866
 0.97904454 0.98403184 0.9886604  0.99295103 0.99692835 1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[    0.   894.  1788.  2682.  3576.  4469.  5363.  6257.  7151.  8045.
  8939.  9833. 10727. 11620. 12514. 13408. 14302. 15196. 16090. 16984.
 17878. 18771. 19665. 20559. 21453. 22347. 23241. 24135. 25029. 25922.
 26816. 27710. 28604. 29498. 30392. 31286. 32180. 33073. 33967. 34861.
 35755. 36649. 37543. 38437. 39331. 40224. 41118. 42012. 42906. 43800.]"
5,-11.771663435474645,43.245260875152894,144,2.0,18.0,22,5,0.0014067727272727272,"[0.         0.07647416 0.14736507 0.21308032 0.27399777 0.3304068
 0.3827575  0.43128614 0.47627177 0.51797305 0.55662964 0.59246346
 0.6256811  0.65644042 0.68498719 0.71144963 0.73597981 0.75871908
 0.77979818 0.79933831 0.81745174 0.83422445 0.8497907  0.86422048
 0.87759676 0.88999634 0.90149055 0.91214558 0.9220227  0.93116885
 0.93965701 0.94752541 0.95481935 0.96158077 0.96784855 0.97365866
 0.97904454 0.98403184 0.9886604  0.99295103 0.99692835 1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[    0.   894.  1788.  2682.  3576.  4469.  5363.  6257.  7151.  8045.
  8939.  9833. 10727. 11620. 12514. 13408. 14302. 15196. 16090. 16984.
 17878. 18771. 19665. 20559. 21453. 22347. 23241. 24135. 25029. 25922.
 26816. 27710. 28604. 29498. 30392. 31286. 32180. 33073. 33967. 34861.
 35755. 36649. 37543. 38437. 39331. 40224. 41118. 42012. 42906. 43800.]"
7,-11.75358359338918,43.245260875152894,146,2.0,20.0,32,7,0.00096715625,"[0.         0.07647416 0.14736507 0.21308032 0.27399777 0.3304068
 0.3827575  0.43128614 0.47627177 0.51797305 0.55662964 0.59246346
 0.6256811  0.65644042 0.68498719 0.71144963 0.73597981 0.75871908
 0.77979818 0.79933831 0.81745174 0.83422445 0.8497907  0.86422048
 0.87759676 0.88999634 0.90149055 0.91214558 0.9220227  0.93116885
 0.93965701 0.94752541 0.95481935 0.96158077 0.96784855 0.97365866
 0.97904454 0.98403184 0.9886604  0.99295103 0.99692835 1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[    0.   894.  1788.  2682.  3576.  4469.  5363.  6257.  7151.  8045.
  8939.  9833. 10727. 11620. 12514. 13408. 14302. 15196. 16090. 16984.
 17878. 18771. 19665. 20559. 21453. 22347. 23241. 24135. 25029. 25922.
 26816. 27710. 28604. 29498. 30392. 31286. 32180. 33073. 33967. 34861.
 35755. 36649. 37543. 38437. 39331. 40224. 41118. 42012. 42906. 43800.]"
8,-11.744543663773104,43.245260875152894,147,2.0,21.0,6,8,0.005158166666666667,"[0.         0.07647416 0.14736507 0.21308032 0.27399777 0.3304068
 0.3827575  0.43128614 0.47627177 0.51797305 0.55662964 0.59246346
 0.6256811  0.65644042 0.68498719 0.71144963 0.73597981 0.75871908
 0.77979818 0.79933831 0.81745174 0.83422445 0.8497907  0.86422048
 0.87759676 0.88999634 0.90149055 0.91214558 0.9220227  0.93116885
 0.93965701 0.94752541 0.95481935 0.96158077 0.96784855 0.97365866
 0.97904454 0.98403184 0.9886604  0.99295103 0.99692835 1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[    0.   894.  1788.  2682.  3576.  4469.  5363.  6257.  7151.  8045.
  8939.  9833. 10727. 11620. 12514. 13408. 14302. 15196. 16090. 16984.
 17878. 18771. 19665. 20559. 21453. 22347. 23241. 24135. 25029. 25922.
 26816. 27710. 28604. 29498. 30392. 31286. 32180. 33073. 33967. 34861.
 35755. 36649. 37543. 38437. 39331. 40224. 41118. 42012. 42906. 43800.]"
9,-11.735503728446986,43.245260875152894,148,2.0,22.0,44,9,0.0007033863636363636,"[0.         0.07647416 0.14736507 0.21308032 0.27399777 0.3304068
 0.3827575  0.43128614 0.47627177 0.51797305 0.55662964 0.59246346
 0.6256811  0.65644042 0.68498719 0.71144963 0.73597981 0.75871908
 0.77979818 0.79933831 0.81745174 0.83422445 0.8497907  0.86422048
 0.87759676 0.88999634 0.90149055 0.91214558 0.9220227  0.93116885
 0.93965701 0.94752541 0.95481935 0.96158077 0.96784855 0.97365866
 0.97904454 0.98403184 0.9886604  0.99295103 0.99692835 1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[    0.   894.  1788.  2682.  3576.  4469.  5363.  6257.  7151.  8045.
  8939.  9833. 10727. 11620. 12514. 13408. 14302. 15196. 16090. 16984.
 17878. 18771. 19665. 20559. 21453. 22347. 23241. 24135. 25029. 25922.
 26816. 27710. 28604. 29498. 30392. 31286. 32180. 33073. 33967. 34861.
 35755. 36649. 37543. 38437. 39331. 40224. 41118. 42012. 42906. 43800.]"
10,-11.72646378741497,43.245260875152894,149,2.0,23.0,66,10,0.0004689242424242425,"[0.         0.07647416 0.14736507 0.21308032 0.27399777 0.3304068
 0.3827575  0.43128614 0.47627177 0.51797305 0.55662964 0.59246346
 0.6256811  0.65644042 0.68498719 0.71144963 0.73597981 0.75871908
 0.77979818 0.79933831 0.81745174 0.83422445 0.8497907  0.86422048
 0.87759676 0.88999634 0.90149055 0.91214558 0.9220227  0.93116885
 0.93965701 0.94752541 0.95481935 0.96158077 0.96784855 0.97365866
 0.97904454 0.98403184 0.9886604  0.99295103 0.99692835 1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[    0.   894.  1788.  2682.  3576.  4469.  5363.  6257.  7151.  8045.
  8939.  9833. 10727. 11620. 12514. 13408. 14302. 15196. 16090. 16984.
 17878. 18771. 19665. 20559. 21453. 22347. 23241. 24135. 25029. 25922.
 26816. 27710. 28604. 29498. 30392. 31286. 32180. 33073. 33967. 34861.
 35755. 36649. 37543. 38437. 39331. 40224. 41118. 42012. 42906. 43800.]"
11,-11.717423840681196,43.245260875152894,150,2.0,24.0,39,11,0.0007935641025641026,"[0.         0.07647416 0.14736507 0.21308032 0.27399777 0.3304068
 0.3827575  0.43128614 0.47627177 0.51797305 0.55662964 0.59246346
 0.6256811  0.65644042 0.68498719 0.71144963 0.73597981 0.75871908
 0.77979818 0.79933831 0.81745174 0.83422445 0.8497907  0.86422048
 0.87759676 0.88999634 0.90149055 0.91214558 0.9220227  0.93116885
 0.93965701 0.94752541 0.95481935 0.96158077 0.96784855 0.97365866
 0.97904454 0.98403184 0.9886604  0.99295103 0.99692835 1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[    0.   894.  1788.  2682.  3576.  4469.  5363.  6257.  7151.  8045.
  8939.  9833. 10727. 11620. 12514. 13408. 14302. 15196. 16090. 16984.
 17878. 18771. 19665. 20559. 21453. 22347. 23241. 24135. 25029. 25922.
 26816. 27710. 28604. 29498. 30392. 31286. 32180. 33073. 33967. 34861.
 35755. 36649. 37543. 38437. 39331. 40224. 41118. 42012. 42906. 43800.]"
12,-11.70838388824981,43.245260875152894,151,2.0,25.0,24,12,0.0012895416666666667,"[0.         0.07647416 0.14736507 0.21308032 0.27399777 0.3304068
 0.3827575  0.43128614 0.47627177 0.51797305 0.55662964 0.59246346
 0.6256811  0.65644042 0.68498719 0.71144963 0.73597981 0.75871908
 0.77979818 0.79933831 0.81745174 0.83422445 0.8497907  0.86422048
 0.87759676 0.88999634 0.90149055 0.91214558 0.9220227  0.93116885
 0.93965701 0.94752541 0.95481935 0.96158077 0.96784855 0.97365866
 0.97904454 0.98403184 0.9886604  0.99295103 0.99692835 1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[    0.   894.  1788.  2682.  3576.  4469.  5363.  6257.  7151.  8045.
  8939.  9833. 10727. 11620. 12514. 13408. 14302. 15196. 16090. 16984.
 17878. 18771. 19665. 20559. 21453. 22347. 23241. 24135. 25029. 25922.
 26816. 27710. 28604. 29498. 30392. 31286. 32180. 33073. 33967. 34861.
 35755. 36649. 37543. 38437. 39331. 40224. 41118. 42012. 42906. 43800.]"
